node   1  (   0,    0) (   6,    3) (  11,    4) (  11,    7) (   9,   11) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14)
          (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14)
          (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14)
          (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14)
          (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14) (   9,   14)
          (   9,   14) (   9,   14) (   7,   13) (   9,   14) (   8,   14) (   8,   14) (   9,   12) (   9,   11) (   8,   13) (   9,   11)
          (   9,   12) (   5,   11) (   7,   14) (   8,   12) (   8,   14) (   9,   12) (   6,   14) (   9,   14) (   9,   13) (   9,   14)
          (   8,   12) (   9,   13) (   9,   14) (   9,   13) (   8,   14) (   8,   14) (   7,   14) (   9,   13) (   8,   11) (   9,   14)
          (   7,   14) (   7,   11) (   8,   13) (   9,   11) (   9,   12) (   7,   11) (   8,   14) (   9,   12) (   6,   13) (   8,   14)
          (   8,   11) (   8,   14) (   8,   14) (   9,   12) (   8,   13) (   9,   10) (   7,   12) (   6,   13) (   9,   14) (   9,   10)
          (   7,   11) (   9,   14) (   8,   11) (   8,   10) (   9,   11) (   8,   12) (   8,   12) (   9,   11) (   8,   10) (   9,   11)
          (   7,   11) (   9,   12) (   8,    9) (   9,    9) (   8,   11) (   8,   12) (   8,   12) (   8,   10) (   8,   11) (   9,   11)
          (   6,   12) (   8,   11) (   7,   12) (   8,    9) (   6,   11) (   7,   11) (   7,   10) (   5,   12) (   7,   12) (   7,   11)
          (   8,   10) (   7,   10) (   8,    9) (   6,   11) (   7,   10) (   6,   12) (   8,   11) (   7,    9) (   7,   11) (   8,   12)
          (   8,   11) (   8,   11) (   8,   11) (   8,   11) (   7,   12) (   6,   11) (   7,   12) (   6,   11) (   6,   12) (   7,   12)
          (   7,   12) (   8,   10) (   7,    9) (   8,   12) (   8,   11) (   8,   10) (   6,   11) (   7,   12) (   8,   10) (   8,    9)
          (   8,   10) (   8,   10) (   7,   12) (   8,   10) (   8,   11) (   8,   12) (   6,   11) (   7,   11) (   6,   10) (   7,   12)
          (   7,   10) (   7,    9) (   5,   12) (   8,   11) (   8,   10) (   7,   12) (   7,    9) (   7,    9) (   7,   12) (   6,   11)
          (   6,   12) (   7,   11) (   8,   10) (   8,   12) (   7,    9) (   7,   10) (   8,   10) (   8,   11) (   8,    9) (   8,   11)
          (   6,   12) (   8,   12) (   6,   11) (   5,   11) (   7,   11) (   8,   11) (   8,   12) (   6,   11) (   8,   11) (   6,    7)
          (   8,   11) (   7,   11) (   7,   11) (   6,    9) (   8,   10) (   7,   12) (   7,   10) (   8,   11) (   8,   12) (   8,   12)
          (   8,   10) (   8,   11) (   8,    9) (   8,   12) (   8,   11) (   8,   12) (   7,   11) (   8,   11) (   8,    9) (   7,   10)
          (   5,   10) (   8,   10) (   8,   10) (   8,   11) (   8,   11) (   5,   12) (   6,   10) (   8,   11) (   7,   11) (   8,   11)
          (   6,   11) (   6,    8) (   8,   11) (   8,   12) (   7,   12) (   7,   12) (   8,    8) (   7,   11) (   6,    9) (   5,   12)
          (   8,   12) (   7,   11) (   8,   11) (   8,    9) (   7,   10) (   7,   11) (   6,   11) (   8,   10) (   6,   10) (   7,   11)
          (   6,   11) (   5,   12) (   8,   11) (   8,   12) (   6,   10) (   7,   12) (   7,   11) (   7,   11) (   7,   12) (   7,   11)
          (   5,   11) (   6,   12) (   8,   10) (   7,   11) (   7,   12) (   8,    9) (   7,   11) (   7,   11) (   7,   12) (   7,   12)
          (   7,   11) (   7,   11) (   5,   11) (   7,    9) (   7,   11) (   6,   11) (   8,   11) (   8,   10) (   8,   11) (   6,   12)
